analysis_id,tevo38t5s645kn3
gene_symbol,Lamb3
parameter_id,IMPC_CSD_036_001
mouse_strain,C57BL
gene_accession_id,MGI:99915
pvalue,0.1957259
parameter_name,Startle response
mouse_life_stage,Early adult
