gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
mouse_life_stage,E18.5
parameter_id,IMPC_XRY_021_001
mouse_strain,C57BL
parameter_name,Humerus
analysis_id,bdd284dgb1w8o84
pvalue,0.1423864
