analysis_id,27ee37815gmw636
parameter_id,IMPC_XRY_021_001
gene_symbol,Fpgs
mouse_life_stage,Early adult
parameter_name,Humerus
pvalue,0.2770986
mouse_strain,C57BL
gene_accession_id,MGI:95576
