parameter_name,Sodium
parameter_id,IMPC_CBC_001_001
pvalue,0.9651542
gene_accession_id,MGI:1914556
gene_symbol,Zc2hc1a
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,9qdcd2fq1741j78
