analysis_id,u37lctk84mcs8kx
parameter_name,Mean left eye lens density
gene_symbol,AU040320
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
parameter_id,IMPC_EYE_056_001
gene_accession_id,MGI:2140475
pvalue,0.2553741
