parameter_name,Spleen weight
mouse_strain,C57BL
pvalue,0.8902181
analysis_id,x3rr5330p8057h9
mouse_life_stage,Early adult
gene_symbol,Ints7
gene_accession_id,MGI:1924315
parameter_id,UCD_OWT_003_001
