analysis_id,f8wglcf79of1sd9
gene_accession_id,MGI:3026886
parameter_id,IMPC_GEO_064_001
mouse_life_stage,Early adult
gene_symbol,Cdin1
mouse_strain,C57BL
pvalue,0.2528319
parameter_name,Edema
