parameter_name,Center average speed
parameter_id,HRWLLA_OFD_017_001
pvalue,0.7737426
gene_symbol,Ola1
mouse_strain,C57BL
gene_accession_id,MGI:1914309
analysis_id,2bbt5a281u1o40n
mouse_life_stage,E18.5
