analysis_id,f6dl6905786zj80
mouse_strain,C57BL
gene_symbol,Toporsl
mouse_life_stage,Early adult
pvalue,0.7735457
parameter_id,IMPC_GRS_011_001
gene_accession_id,MGI:1915524
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
