parameter_id,MGP_IMM_125_001
gene_symbol,Snap23
gene_accession_id,MGI:109356
parameter_name,Eosinophils - % of CD45+
analysis_id,h242fady12sz1s9
mouse_strain,C57BL
mouse_life_stage,Late adult
pvalue,0.1834403
