gene_symbol,Rgs20
analysis_id,005y3b4h1y2s5st
mouse_life_stage,Early adult
gene_accession_id,MGI:1929866
parameter_id,IMPC_CBC_012_001
pvalue,0.2041656
parameter_name,Aspartate aminotransferase
mouse_strain,C57BL
