analysis_id,4009hk3df4251l1
gene_symbol,Lurap1
gene_accession_id,MGI:1915325
parameter_id,ESLIM_007_001_009
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Periphery average speed
pvalue,0.4385083
