analysis_id,oi52rf3xv3f36y0
gene_symbol,Tubb4b
gene_accession_id,MGI:1915472
pvalue,0.3196996
parameter_name,Center resting time
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAX_OFD_015_001
