gene_symbol,Rab3gap2
mouse_life_stage,Early adult
pvalue,0.9408107
parameter_name,Basophil differential count
mouse_strain,C57BL
analysis_id,77f2py1i4249k3g
gene_accession_id,MGI:1916043
parameter_id,IMPC_HEM_038_001
