analysis_id,f693y5ea7560hd5
gene_accession_id,MGI:1913405
parameter_id,IMPC_XRY_065_001
gene_symbol,Ufc1
pvalue,0.6312882
parameter_name,Lumbar processes
mouse_life_stage,Early adult
mouse_strain,C57BL
