parameter_name,Hemoglobin
pvalue,0.45798
mouse_strain,C57BL
analysis_id,m7m0sd0xth5n296
parameter_id,IMPC_HEM_003_001
gene_symbol,Casq1
mouse_life_stage,Early adult
gene_accession_id,MGI:1309468
