analysis_id,8m7f9rn633k9u54
pvalue,0.2948918
mouse_strain,C57BL
parameter_id,MGP_PBI_031_001
gene_symbol,Zcchc2
mouse_life_stage,Early adult
gene_accession_id,MGI:2444114
parameter_name,KLRG1+ mature NK cell number
