gene_symbol,Grem2
pvalue,0.4981325
analysis_id,12v7533cqsa66u5
gene_accession_id,MGI:1344367
parameter_name,Creatinine
parameter_id,IMPC_CBC_005_001
mouse_strain,C57BL
mouse_life_stage,Early adult
