analysis_id,m5m6o772x0572jc
parameter_id,IMPC_ABR_004_001
gene_symbol,Rnf114
mouse_strain,C57BL
gene_accession_id,MGI:1933159
mouse_life_stage,Early adult
parameter_name,6kHz-evoked ABR Threshold
pvalue,0.9073143
