parameter_name,Distance travelled - total
parameter_id,JAXLA_OFD_020_001
gene_symbol,Dmap1
mouse_strain,C57BL
analysis_id,v6b256li5p12mzk
gene_accession_id,MGI:1913483
mouse_life_stage,Early adult
pvalue,0.7258988
