gene_symbol,Dcaf12
mouse_life_stage,Early adult
parameter_name,Number of rears - total
mouse_strain,C57BL
parameter_id,JAX_OFD_021_001
gene_accession_id,MGI:1916220
pvalue,0.7545408
analysis_id,53jn82384o2554h
