analysis_id,27wht3m3v8936u3
parameter_name,HRV
mouse_strain,C57BL
gene_symbol,Slc45a3
parameter_id,IMPC_ECG_010_001
gene_accession_id,MGI:1922082
pvalue,0.4949524
mouse_life_stage,Early adult
