parameter_name,Iron
gene_symbol,Tubb4b
mouse_strain,C57BL
parameter_id,IMPC_CBC_011_001
pvalue,0.2681518
analysis_id,a15l10jn7py2w3l
mouse_life_stage,Early adult
gene_accession_id,MGI:1915472
