analysis_id,78w1p497e81328w
gene_symbol,Slc30a4
gene_accession_id,MGI:1345282
mouse_life_stage,Late adult
pvalue,0.551975
parameter_id,M-G-P_009_001_003
mouse_strain,C57BL
parameter_name,Body weight
