analysis_id,1bj0y242wjv6s86
pvalue,0.768599
parameter_name,Glucose
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_018_001
mouse_strain,C57BL
