parameter_name,Number of centre entries
mouse_life_stage,Early adult
analysis_id,0hy856qx4m892ub
gene_symbol,Rab3gap2
pvalue,0.3299859
parameter_id,ESLIM_007_001_015
mouse_strain,C57BL
gene_accession_id,MGI:1916043
