parameter_id,JAXLA_CSD_022_001
gene_accession_id,MGI:1914309
pvalue,0.3985877
parameter_name,Hindlimbs - size
gene_symbol,Ola1
analysis_id,6fq2sa3636ojvr0
mouse_life_stage,E18.5
mouse_strain,C57BL
