parameter_id,IMPC_IMM_052_001
pvalue,0.3288511
mouse_life_stage,Late adult
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
mouse_strain,C57BL
parameter_name,Eosinophils
analysis_id,9ad180740z1iz89
