parameter_name,Anophthalmia
parameter_id,IMPC_GEO_048_002
mouse_life_stage,Early adult
mouse_strain,129SV
gene_accession_id,MGI:2684980
analysis_id,t7z54yb5vg3jr73
pvalue,0.805518
gene_symbol,Mms22l
