parameter_name,Hindlimbs - shape
mouse_life_stage,Early adult
analysis_id,c3v0b768sse254q
pvalue,0.3580954
gene_accession_id,MGI:1925049
mouse_strain,C57BL
parameter_id,JAXLA_CSD_021_001
gene_symbol,Sla2
