parameter_id,UCD_OWT_008_001
gene_symbol,Secisbp2l
pvalue,0.6853947
analysis_id,6z695wz5n8rz9i4
gene_accession_id,MGI:1917604
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Liver weight
