gene_symbol,Atg4c
parameter_id,IMPC_XRY_033_001
gene_accession_id,MGI:2651854
mouse_life_stage,Early adult
pvalue,0.1191068
mouse_strain,C57BL
analysis_id,f207s935j15z264
parameter_name,Tibia length
