analysis_id,sf3ee6i1u82527j
gene_symbol,Mgst2
mouse_life_stage,Early adult
parameter_id,JAX_LDT_005_001
mouse_strain,C57BL
pvalue,0.5135652
gene_accession_id,MGI:2448481
parameter_name,Time mobile dark side
