parameter_name,Shape of ribcage
gene_symbol,Tatdn3
analysis_id,6x6q1qxf6v6204j
pvalue,0.3899995
parameter_id,IMPC_XRY_059_001
gene_accession_id,MGI:1916222
mouse_life_stage,Early adult
mouse_strain,C57BL
