parameter_name,PQ
gene_accession_id,MGI:107414
analysis_id,nk2i679z7tauf31
gene_symbol,Tnfsf10
parameter_id,IMPC_ECG_005_001
pvalue,0.8482399
mouse_life_stage,Early adult
mouse_strain,C57BL
