parameter_id,IMPC_ACS_006_001
analysis_id,725893kb455hqq2
gene_symbol,Ncaph
mouse_strain,C57BL
pvalue,0.8812385
parameter_name,Response amplitude - S
mouse_life_stage,Early adult
gene_accession_id,MGI:2444777
