parameter_name,Clavicle
pvalue,0.1372165
gene_accession_id,MGI:1916363
mouse_life_stage,Early adult
analysis_id,946fme8f1bhhy61
parameter_id,IMPC_XRY_007_001
mouse_strain,C57BL
gene_symbol,Alkbh3
