parameter_name,Red blood cell count
parameter_id,IMPC_HEM_002_001
mouse_life_stage,Early adult
gene_symbol,Mms22l
pvalue,0.1695754
gene_accession_id,MGI:2684980
mouse_strain,C57BL
analysis_id,5b8ivvyf1z91qr0
