parameter_name,Periphery resting time
gene_symbol,Bmi1
mouse_strain,C57BL
pvalue,0.5731466
parameter_id,ESLIM_007_001_007
mouse_life_stage,E12.5
gene_accession_id,MGI:88174
analysis_id,4usq457bpy0x12z
