analysis_id,k5e118qnt1z4kk8
gene_accession_id,MGI:1914583
mouse_life_stage,Early adult
parameter_name,Distance travelled - total
parameter_id,IMPC_OFD_020_001
gene_symbol,Stk35
pvalue,0.07215413
mouse_strain,C57BL
