gene_symbol,Cpa3
gene_accession_id,MGI:88479
parameter_id,MGP_MLN_013_001
pvalue,0.4360569
parameter_name,Effector CD8+ T cells - % of CD8+
mouse_strain,C57BL
analysis_id,5ywtd4s8j83cjqc
mouse_life_stage,Early adult
