analysis_id,yhu10y0jr9xg72h
gene_accession_id,MGI:1914309
mouse_strain,C57BL
parameter_name,Hindlimb digit - size
parameter_id,IMPC_CSD_047_001
mouse_life_stage,Early adult
gene_symbol,Ola1
pvalue,0.4995728
