analysis_id,vx119wf69j58339
gene_accession_id,MGI:106100
parameter_name,B1B Cells
mouse_strain,C57BL
parameter_id,IMPC_IMM_064_001
pvalue,0.9920123
mouse_life_stage,Early adult
gene_symbol,Etfdh
