analysis_id,x2tu28l5iko04s7
gene_accession_id,MGI:1914556
gene_symbol,Zc2hc1a
mouse_life_stage,Early adult
parameter_id,IMPC_GRS_011_001
mouse_strain,C57BL
pvalue,0.988906
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
