gene_symbol,Cdin1
analysis_id,8l157oxjen68z6x
parameter_id,MGP_CSD_030_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Limb coat/hair presence
pvalue,0.5296786
gene_accession_id,MGI:3026886
