gene_symbol,Med22
parameter_name,Pale yolk sac
mouse_life_stage,Early adult
pvalue,0.2619428
mouse_strain,C57BL
gene_accession_id,MGI:98446
analysis_id,8hi554t4u7e78gk
parameter_id,IMPC_GEL_017_002
