gene_symbol,Frmpd1
mouse_life_stage,Late adult
parameter_id,IMPC_IMM_047_001
mouse_strain,C57BL
analysis_id,t535e693436n0k6
gene_accession_id,MGI:2446274
parameter_name,DN CD44+CD62L+ NKT cells
pvalue,0.6301449
