gene_symbol,Eprs1
mouse_strain,C57BL
parameter_id,IMPC_DXA_006_001
parameter_name,Body length
gene_accession_id,MGI:97838
pvalue,0.2173823
mouse_life_stage,E9.5
analysis_id,84v65860080uq0i
