gene_symbol,Jun
mouse_strain,C51BL
gene_accession_id,MGI:96646
analysis_id,41240av067576g7
pvalue,0.7993355
parameter_id,MGP_IMM_082_001
mouse_life_stage,E15.5
parameter_name,Resting CD8+ T cells - % of CD45+
