parameter_name,Fat/Body weight
analysis_id,m7r25xqietjlm18
mouse_strain,C57BL
parameter_id,JAXLA_DXA_009_001
pvalue,0.08423088
mouse_life_stage,Early adult
gene_accession_id,MGI:2444777
gene_symbol,Ncaph
