gene_symbol,Bdh2
parameter_id,IMPC_EYE_017_001
analysis_id,b2sy6s0rz4kdu5i
parameter_name,Lens Opacity
pvalue,0.266045
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1917022
