parameter_name,Monocyte percentage
mouse_strain,C57BL
parameter_id,MGP_PBI_016_001
gene_symbol,Bmi1
mouse_life_stage,E15.5
analysis_id,61g856i568g13xa
pvalue,0.9716394
gene_accession_id,MGI:88174
