parameter_name,Calcium
mouse_life_stage,Early adult
pvalue,0.4652111
mouse_strain,129SV
gene_symbol,Cntfr
gene_accession_id,MGI:99605
parameter_id,IMPC_CBC_009_001
analysis_id,w1f050s80vly474
