mouse_life_stage,E9.5
pvalue,0.2091104
gene_symbol,Tiprl
mouse_strain,C57BL
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
analysis_id,7o84ezbc303z3y2
gene_accession_id,MGI:1915087
parameter_id,IMPC_IMM_005_002
