parameter_name,Glucose
gene_symbol,Ap5s1
analysis_id,kppld8x6hqf1vq4
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1916846
parameter_id,IMPC_CBC_018_001
pvalue,0.418318
