analysis_id,b481wjkws65674n
mouse_strain,C57BL
gene_symbol,Mecom
parameter_id,MGP_IMM_112_001
gene_accession_id,MGI:95457
parameter_name,Follicular B cells - % of CD45+
pvalue,0.9640268
mouse_life_stage,E12.5
