parameter_name,Retina (combined)
parameter_id,IMPC_EYE_092_001
gene_accession_id,MGI:99501
mouse_strain,C57BL
analysis_id,ki3471009553419
mouse_life_stage,E15.5
pvalue,0.2708945
gene_symbol,Fgb
