analysis_id,9ad8n9x03bxb619
parameter_name,Time mobile dark side
gene_accession_id,MGI:1917810
gene_symbol,Wars2
mouse_strain,C57BL
parameter_id,JAX_LDT_005_001
pvalue,0.543949
mouse_life_stage,Early adult
