analysis_id,28q7h5zv76m1324
parameter_id,IMPC_CBC_009_001
gene_symbol,Ahctf1
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1915033
pvalue,0.9485508
parameter_name,Calcium
