parameter_name,Narrow eye opening
analysis_id,uzcb7606e0c9jy7
gene_accession_id,MGI:2446274
pvalue,0.82467
gene_symbol,Frmpd1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_006_001
