parameter_name,ST
mouse_strain,C57BL
pvalue,0.6644186
gene_symbol,Gpbp1l1
analysis_id,k27p9ygl191v79u
parameter_id,IMPC_ECG_008_001
gene_accession_id,MGI:1924360
mouse_life_stage,Early adult
