parameter_id,JAXLA_EYE_092_001
gene_accession_id,MGI:1309468
analysis_id,482g76dbg56vw6w
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Casq1
parameter_name,Retina (combined)
pvalue,0.07863767
