parameter_name,Lean/Body weight
gene_symbol,Rhbg
parameter_id,ESLIM_005_001_702
gene_accession_id,MGI:1927379
mouse_strain,C57BL
analysis_id,6wlf5i2nr82801a
pvalue,0.9123518
mouse_life_stage,Early adult
