analysis_id,8979bpqw4138q40
mouse_life_stage,Early adult
gene_accession_id,MGI:1338032
mouse_strain,C57BL
pvalue,0.72654
gene_symbol,Sema6c
parameter_name,BMC/Body weight
parameter_id,IMPC_DXA_007_001
